IMAGE_URL,ΠΕΡΙΓΡΑΦΗ,ΤΥΠΟΣ_ΟΝΤΟΤΗΤΑΣ,ID_ΟΝΤΟΤΗΤΑΣ
https://www.hospital.gr/assets/images/doctors/doc10086060998.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 10086060998,Ιατρός,10086060998
https://www.hospital.gr/assets/images/doctors/doc24127184919.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 24127184919,Ιατρός,24127184919
https://www.hospital.gr/assets/images/doctors/doc20027156874.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 20027156874,Ιατρός,20027156874
https://www.hospital.gr/assets/images/doctors/doc08117665345.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 08117665345,Ιατρός,08117665345
https://www.hospital.gr/assets/images/doctors/doc02119001109.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 02119001109,Ιατρός,02119001109
https://www.hospital.gr/assets/images/doctors/doc04096470957.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 04096470957,Ιατρός,04096470957
https://www.hospital.gr/assets/images/doctors/doc17019408693.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 17019408693,Ιατρός,17019408693
https://www.hospital.gr/assets/images/doctors/doc13129208275.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 13129208275,Ιατρός,13129208275
https://www.hospital.gr/assets/images/doctors/doc15027849121.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 15027849121,Ιατρός,15027849121
https://www.hospital.gr/assets/images/doctors/doc08078996446.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 08078996446,Ιατρός,08078996446
https://www.hospital.gr/assets/images/doctors/doc14076889096.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 14076889096,Ιατρός,14076889096
https://www.hospital.gr/assets/images/doctors/doc07086512984.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 07086512984,Ιατρός,07086512984
https://www.hospital.gr/assets/images/doctors/doc11019339247.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 11019339247,Ιατρός,11019339247
https://www.hospital.gr/assets/images/doctors/doc17129595144.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 17129595144,Ιατρός,17129595144
https://www.hospital.gr/assets/images/doctors/doc30068836428.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 30068836428,Ιατρός,30068836428
https://www.hospital.gr/assets/images/doctors/doc27116381556.jpg,Επίσημη φωτογραφία προφίλ του ιατρού με ΑΜΚΑ 27116381556,Ιατρός,27116381556
